id;name;email;phone;address;company;tax_id;notes;is_active;created_at;updated_at
1;react yowza into;"'U=887@+`\5=N.&,";959.016.277;../fake-data/blob/hipster.txt;suspiciously;beside zen why;../fake-data/blob/hipster.txt;false;2025-07-08T05:56:25;2025-07-07T19:56:12
2;dreamily;"ph@(9.~72\";962-593-721;../fake-data/blob/hipster.txt;yet astonishing;er colorfully;../fake-data/blob/hipster.txt;true;2025-07-08T11:36:45;2025-07-08T14:30:07
3;quarrelsomely;"7@'!\a\F.Ra";982577183;../fake-data/blob/hipster.txt;absent inasmuch partially;ethical violent;../fake-data/blob/hipster.txt;true;2025-07-08T02:40:05;2025-07-08T07:09:36
4;whoa where;"<*v@XCzVf.HMMvg";916.902.792;../fake-data/blob/hipster.txt;anti over keel;phooey;../fake-data/blob/hipster.txt;false;2025-07-07T19:43:02;2025-07-08T00:39:03
5;consequently;"%'qh.@I}EmJ.3N";964818700;../fake-data/blob/hipster.txt;whose;considering boss;../fake-data/blob/hipster.txt;true;2025-07-07T16:56:14;2025-07-08T12:41:43
6;sans slather;"%@u.TB";910.635.664;../fake-data/blob/hipster.txt;postbox wonderful;before impressionable;../fake-data/blob/hipster.txt;true;2025-07-07T21:33:51;2025-07-08T06:11:44
7;brown under smart;"}{@,y1.L|:nwp";976105939;../fake-data/blob/hipster.txt;clearly;mid on gleefully;../fake-data/blob/hipster.txt;false;2025-07-08T00:15:43;2025-07-07T22:59:00
8;after triumphantly;"i)u.@S~mRp~.u4=+e";906-340-057;../fake-data/blob/hipster.txt;hm vaguely;windy loftily aw;../fake-data/blob/hipster.txt;false;2025-07-07T17:37:22;2025-07-07T23:44:56
9;brr till lift;"a@J[1T.ZGQBP?";900 182 719;../fake-data/blob/hipster.txt;unless;whose sideboard;../fake-data/blob/hipster.txt;true;2025-07-08T00:53:42;2025-07-08T01:20:58
10;woot lest hydrocarbon;"'h/Z:@Vf-.TP";901 998 581;../fake-data/blob/hipster.txt;incidentally aboard;inside drat;../fake-data/blob/hipster.txt;true;2025-07-07T17:38:40;2025-07-08T06:14:33
